#SOCIETY STUFF
jesuite;Jesuite;;;;;;;;;;;;;x
jesuite_DESC;The Society of Jesus, founded in the 16th century by St. Ignatius of Loyola, has always played a vital role in the Christianization of the Americas. However, after the Event, it became divided as a result of the Council of Chicago, where the Jesuits of North America submitted themselves to the man who was there proclaimed pope. The Jesuits of South and Latin America, however, never recognized this choice—and although unfavorable circumstances, including persecution by Brazilian emperors, prevented the delivery of validly ordained bishops and priests to their brothers in Mexico and Canada.;;;;;;;;;;;;;x
d_jesuite;Assistentia Americae Societatis Iesu;;;;;;;;;;;;;x
BISHOP_SUPERIOR;Bishop-Superior;;;;;;;;;;;;;x
monastic_order_south_america_jesuits;Society of Jesus;;;;;;;;;;;;;x
monastic_order_south_america_jesuits_desc;The Society of Jesus, also known as the Jesuits, has been present in America for over a thousand years. They have once again dedicated themselves to bringing the word of God to South America, no matter the cost... As a lay member of the Order, you are expected not to pursue material wealth and to assist the Jesuits whenever possible.;;;;;;;;;;;;;x
currency_name_monastic_order_south_america_jesuits;Devotion;;;;;;;;;;;;;x
cuba_king_gasparrido;Blood of Gaspar the Conqueror;;;;;;;;;;;;;x
cuba_king_gasparrido_desc;Gaspar I the Great unified Cuba in the 23rd century and secured his dynasty’s rule over the island for more than 200 years.;;;;;;;;;;;;;x
can_imperial_government;Royal Parliamentarism;;;;;;;;;;;;;x
can_imperial_government_desc;Some kingdoms in America abide by a parliamentary system, harkening back to and claiming the heritage of the system of the great empire of the British, before the event. The government is characterized by dominance by the parliament over the royal family, with large privileges granted to the large council.;;;;;;;;;;;;;x
can_imperial_government_emperor;King;;;;;;;;;;;;;x
can_imperial_government_emperor_female;Queen;;;;;;;;;;;;;x
can_imperial_government_king;Governor;;;;;;;;;;;;;x
can_imperial_government_king_female;Lady Governor;;;;;;;;;;;;;x
can_imperial_government_kingdom;Province;;;;;;;;;;;;;x
can_imperial_government_kingdom_of;Province of;;;;;;;;;;;;;x
LORD_PROTECTOR;Lord Protector;;;;;;;;;;;;;x
LADY_PROTECOR;Lady Protector;;;;;;;;;;;;;x
gov_can_government;Royal Parliamentarism;;;;;;;;;;;;;x
parlament_size;Parliament Size;;;;;;;;;;;;;x
parlament_size_desc;This law determinates how big is parliament.;;;;;;;;;;;;;x
parlament_size_0;Small;;;;;;;;;;;;;x
parlament_size_0_desc;Parliament will have only 5 members;;;;;;;;;;;;;x
parlament_size_1;Medium;;;;;;;;;;;;;x
parlament_size_1_desc;Parliament will have 10 members;;;;;;;;;;;;;x
parlament_size_2;Big;;;;;;;;;;;;;x
parlament_size_2_desc;Parliament will have 20 members;;;;;;;;;;;;;x
parlament_size_3;Large;;;;;;;;;;;;;x
parlament_size_3_desc;Parliament will have 30 members;;;;;;;;;;;;;x
title_parlament_member_1;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_2;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_3;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_4;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_5;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_6;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_7;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_8;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_9;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_10;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_11;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_12;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_13;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_14;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_15;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_16;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_17;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_18;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_19;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_20;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_21;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_22;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_23;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_24;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_25;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_26;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_27;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_28;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_29;Parlament Member;;;;;;;;;;;;;x
title_parlament_member_30;Parlament Member;;;;;;;;;;;;;x
k_canada;Canada;;;;;;;;;;;;;x
d_high_church;Ottawa;;;;;;;;;;;;;x
restore_canada;Restore the Dominion of Canada;;;;;;;;;;;;;x
restore_canada_desc;Since the Event, the Kingdom of Canada has remained without a king — but we can change that for the better.;;;;;;;;;;;;;x
EVTNAME_restored_canada;Kingdom Restored;;;;;;;;;;;;;x
EVTDESC_restored_canada_desc;After many years of interregnum, the Kingdom of Canada finally has a king who can continue the ancient line of Canadian monarchs. For the first time since the Event, crowds in Ottawa have begun to sing "God Save the King," and the office of the Lord Protector has been formally dissolved. [Root.GetTitledFirstName] has ascended to the throne of Canada, having united the land and been recognized by Parliament as the most worthy heir to the crown. Though the kingdom is no longer without a monarch, the struggle will endure—to restore the Kingdom of Canada to its former glory.;;;;;;;;;;;;x
EVTOPT_restored_canada;Canada has a king now;;;;;;;;;;;;;x
catholic;Conclavist;;;;;;;;;;;;x
anticonclavist;Anticonclavist;;;;;;;;;;;;x
anticonclavist_DESC;Since the Council in Havana, where Jesuit bishops as well as representatives of the Ursulines from Canada and Cristo Rey from Mexico gathered, the former opponents of the St. Louis obedience are no longer divided but now form a single faction led by the Conference of Bishops of America. The anti-conclavists believe that across the sea—in the legendary Europe—there is a pope who is the rightful head of the Catholic Church, while usurpers sit in St. Louis.;;;;;;;;;;;;x
EVTNAME_anticolclavist_consuil;Council in Havana;;;;;;;;;;;;x
EVTDESC_anticolclavist_consuil_desc;At last, after much effort, you managed to initiate a Council in Havana. Jesuit bishops, the leaders of the Order of Saint Ursula in Canada, the leaders of Cristo Rey in Mexico, and all other opponents of the St. Louis obedience gathered in Havana. After many turbulent deliberations, a decision was made to establish the Pan-American Conference of Bishops, which would oversee the Catholic Church in the Americas. It was agreed that within a few years, the first parishes in decades would be erected in Mexico and Canada, staffed with valid priests and bishops who would watch over the souls of the faithful.;;;;;;;;;;;;;x
EVTOPT_anticolclavist_consuil1;Fiat voluntas Dei;;;;;;;;;;;;x
d_anticonclavist;Pan-American Conference of Bishops;;;;;;;;;;;;x
organise_anticonclavist_council;Organise Pan-American Consuil;;;;;;;;;;;;x
federal_government;Federal;;;;;;;;;;;;x
federal_government_desc;Federal system is similar to the feudal system that exists in non-Americanist countries. Nevertheless, it differs - the Federal system is steeped in the Americanist religious spirit and the 1787 Constitution, and is more militaristic than other systems. Federal law enacted by the President, although very vague and a small part of the laws of Americanist territories, overrides the orders of local lords.;;;;;;;;;;;;x
gov_federal_government;Federal Government;;;;;;;;;;;;x
k_order_of_st_ursula;Order of St Ursula;;;;;;;;;;;;x
restore_mex_northern_border;Restore Northern Mexican Border;;;;;;;;;;;;x
restore_mex_northern_border_desc;The historical border of the Mexican Empire in the north extended further—all the way to the Rio Grande River and Southern California. It is time to restore it.;;;;;;;;;;;;x
k_belize;Belize;;;;;;;;;;;;x
confederacy_government;Confederacy;;;;;;;;;;;;x
confederacy_government_desc;The Holy Colombian Confederacy has over the centuries developed a unique political and economic system distinct from the feudal systems that have formed across much of the Americas. While a feudal system exists, much more emphasis is placed on imperial magistrates, legalism and the belief that the HCC is more than an empire, it as a state is the true successor to America and her traditions.;;;;;;;;;;;;x
PRESIDENT;President pro tempore;;;;;;;;;;;;x
d_confederate_congress;Congress;;;;;;;;;;;;x
ask_congress_for_acceptation;Ask Congress to approve our election;;;;;;;;;;;;x
ask_congress_for_acceptation_desc;According to a long-standing custom in the Holy Columbian Confederacy, every elected Emperor must obtain the approval and confirmation of Congress—this is essentially a formality, although there have been Emperors who have had problems with it.;;;;;;;;;;;;x
EVTDESC_con_congress.1;The new Emperor of the Holy Columbian Confederacy has formally requested that you, the President of the Holy Columbian Confederacy Congress, approve his election as Emperor. In essence, this is merely a formality, but the Congress could theoretically refuse to accept it, which could have negative consequences for the legitimacy of the imperial authority.;;;;;;;;;;;;x
EVTOPTA_con_congress.1;I approve election of emperor.;;;;;;;;;;;;x
EVTOPTB_con_congress.1;I refuse to approve this emperor;;;;;;;;;;;;x
EVTDESCcon_congress.2;The Congress has approved you as emperor and their leader.;;;;;;;;;;;;x
EVTOPTA_con_congress.2;Nice;;;;;;;;;;;;x
EVTDESCcon_congress.3;Contrary to your expectations, Congress refused to approve your election and ordered you to resign from the office of Emperor-Elect.;;;;;;;;;;;;x
EVTOPTA_con_congress.3;Judgments of Congress must be respected.;;;;;;;;;;;;x
EVTOPTB_con_congress.3;Sword will convince them to change their minds.;;;;;;;;;;;;x
confederate_congress_government;Congressional bureaucracy;;;;;;;;;;;;x
confederate_congress_government_desc;The territories administered by the Congress of the Holy Columbian Confederacy are not subject to the Emperor and his decrees, but instead to the laws passed by Congress, which consists of representatives from wealthy merchant families. Although this form of government resembles that of a typical merchant republic, unlike other republics it is also based on old common law dating back to before the Event, as well as on the vigorous—or negligent—actions of the magistrates.;;;;;;;;;;;;x
gov_confederate_congress_government;Congressional bureaucracy;;;;;;;;;;;;x
congress_refused_emperor;Rejected Emperor;;;;;;;;;;;;x
congress_refused_emperor_desc;This character was elected Emperor of the Holy Columbian Confederacy, but Congress refused to approve his election. Such a rejection is dishonorable for the elected candidate, who, according to the constitutional rules of the Confederacy, must renounce the imperial crown and is henceforth considered unworthy of power.;;;;;;;;;;;;x
congress_accepted_emperor;Approved Emperor;;;;;;;;;;;;x
